1 0.000 0.000
2 0.020 0.000
3 0.040 0.000
4 0.060 0.000
5 0.080 0.000
6 0.100 0.000
7 0.000 0.020
8 0.020 0.020
9 0.040 0.020
10 0.060 0.020
11 0.080 0.020
12 0.100 0.020
13 0.000 0.040
14 0.020 0.040
15 0.040 0.040
16 0.060 0.040
17 0.080 0.040
18 0.100 0.040
19 0.000 0.060
20 0.020 0.060
21 0.040 0.060
22 0.060 0.060
23 0.080 0.060
24 0.100 0.060
25 0.000 0.080
26 0.020 0.080
27 0.040 0.080
28 0.060 0.080
29 0.080 0.080
30 0.100 0.080
31 0.000 0.100
32 0.020 0.100
33 0.040 0.100
34 0.060 0.100

1 2 7 0.000
2 3 8 0.000
3 4 9 0.000
4 5 10 0.000
5 6 11 0.000
8 7 2 0.000
9 8 3 0.000
10 9 4 0.000
11 10 5 0.000
12 11 6 0.000
7 8 13 0.000
8 9 14 0.000
9 10 15 0.000
10 11 16 0.000
11 12 17 0.000
14 13 8 0.000
15 14 9 0.000
16 15 10 0.000
17 16 11 0.000
18 17 12 0.000
13 14 19 0.000
14 15 20 0.000
15 16 21 0.000
16 17 22 0.000
17 18 23 0.000
20 19 14 0.000
21 20 15 0.000
22 21 16 0.000
23 22 17 0.000
24 23 18 0.000
19 20 25 0.000
20 21 26 0.000
21 22 27 0.000
22 23 28 0.000
23 24 29 0.000
26 25 20 0.000
27 26 21 0.000
28 27 22 0.000
29 28 23 0.000
30 29 24 0.000
25 26 31 0.000
26 27 32 0.000
27 28 33 0.000
32 31 26 0.000
33 32 27 0.000
34 33 28 0.000

1 0.000
2 0.000
3 0.000
4 0.000
5 0.000
6 0.000
7 0.000
13 0.000
19 0.000
25 0.000
28 15.000
29 15.000
30 15.000
31 0.000
34 15.000
