11,B,221,N,121
120,0,10,10000,0
0,1,0,10000,0
0,11,0,10000,0
1,2,0,10000,0
1,12,0,10000,0
2,3,0,10000,0
2,13,0,10000,0
3,4,0,10000,0
3,14,0,10000,0
4,5,0,10000,0
4,15,0,10000,0
5,6,0,10000,0
5,16,0,10000,0
6,7,0,10000,0
6,17,0,10000,0
7,8,0,10000,0
7,18,0,10000,0
8,9,0,10000,0
8,19,0,10000,0
9,10,0,10000,0
9,20,0,10000,0
10,21,0,10000,0
11,12,0,10000,0
11,22,0,10000,0
12,13,0,10000,0
12,23,0,10000,0
13,14,0,10000,0
13,24,0,10000,0
14,15,0,10000,0
14,25,0,10000,0
15,16,0,10000,0
15,26,0,10000,0
16,17,0,10000,0
16,27,0,10000,0
17,18,0,10000,0
17,28,0,10000,0
18,19,0,10000,0
18,29,0,10000,0
19,20,0,10000,0
19,30,0,10000,0
20,21,0,10000,0
20,31,0,10000,0
21,32,0,10000,0
22,23,0,10000,0
22,33,0,10000,0
23,24,0,10000,0
23,34,0,10000,0
24,25,0,10000,0
24,35,0,10000,0
25,26,0,10000,0
25,36,0,10000,0
26,27,0,10000,0
26,37,0,10000,0
27,28,0,10000,0
27,38,0,10000,0
28,29,0,10000,0
28,39,0,10000,0
29,30,0,10000,0
29,40,0,10000,0
30,31,0,10000,0
30,41,0,10000,0
31,32,0,10000,0
31,42,0,10000,0
32,43,0,10000,0
33,34,0,10000,0
33,44,0,10000,0
34,35,0,10000,0
34,45,0,10000,0
35,36,0,10000,0
35,46,0,10000,0
36,37,0,10000,0
36,47,0,10000,0
37,38,0,10000,0
37,48,0,10000,0
38,39,0,10000,0
38,49,0,10000,0
39,40,0,10000,0
39,50,0,10000,0
40,41,0,10000,0
40,51,0,10000,0
41,42,0,10000,0
41,52,0,10000,0
42,43,0,10000,0
42,53,0,10000,0
43,54,0,10000,0
44,45,0,10000,0
44,55,0,10000,0
45,46,0,10000,0
45,56,0,10000,0
46,47,0,10000,0
46,57,0,10000,0
47,48,0,10000,0
47,58,0,10000,0
48,49,0,10000,0
48,59,0,10000,0
49,50,0,10000,0
49,60,0,10000,0
50,51,0,10000,0
50,61,0,10000,0
51,52,0,10000,0
51,62,0,10000,0
52,53,0,10000,0
52,63,0,10000,0
53,54,0,10000,0
53,64,0,10000,0
54,65,0,10000,0
55,56,0,10000,0
55,66,0,10000,0
56,57,0,10000,0
56,67,0,10000,0
57,58,0,10000,0
57,68,0,10000,0
58,59,0,10000,0
58,69,0,10000,0
59,60,0,10000,0
59,70,0,10000,0
60,61,0,10000,0
60,71,0,10000,0
61,62,0,10000,0
61,72,0,10000,0
62,63,0,10000,0
62,73,0,10000,0
63,64,0,10000,0
63,74,0,10000,0
64,65,0,10000,0
64,75,0,10000,0
65,76,0,10000,0
66,67,0,10000,0
66,77,0,10000,0
67,68,0,10000,0
67,78,0,10000,0
68,69,0,10000,0
68,79,0,10000,0
69,70,0,10000,0
69,80,0,10000,0
70,71,0,10000,0
70,81,0,10000,0
71,72,0,10000,0
71,82,0,10000,0
72,73,0,10000,0
72,83,0,10000,0
73,74,0,10000,0
73,84,0,10000,0
74,75,0,10000,0
74,85,0,10000,0
75,76,0,10000,0
75,86,0,10000,0
76,87,0,10000,0
77,78,0,10000,0
77,88,0,10000,0
78,79,0,10000,0
78,89,0,10000,0
79,80,0,10000,0
79,90,0,10000,0
80,81,0,10000,0
80,91,0,10000,0
81,82,0,10000,0
81,92,0,10000,0
82,83,0,10000,0
82,93,0,10000,0
83,84,0,10000,0
83,94,0,10000,0
84,85,0,10000,0
84,95,0,10000,0
85,86,0,10000,0
85,96,0,10000,0
86,87,0,10000,0
86,97,0,10000,0
87,98,0,10000,0
88,89,0,10000,0
88,99,0,10000,0
89,90,0,10000,0
89,100,0,10000,0
90,91,0,10000,0
90,101,0,10000,0
91,92,0,10000,0
91,102,0,10000,0
92,93,0,10000,0
92,103,0,10000,0
93,94,0,10000,0
93,104,0,10000,0
94,95,0,10000,0
94,105,0,10000,0
95,96,0,10000,0
95,106,0,10000,0
96,97,0,10000,0
96,107,0,10000,0
97,98,0,10000,0
97,108,0,10000,0
98,109,0,10000,0
99,100,0,10000,0
99,110,0,10000,0
100,101,0,10000,0
100,111,0,10000,0
101,102,0,10000,0
101,112,0,10000,0
102,103,0,10000,0
102,113,0,10000,0
103,104,0,10000,0
103,114,0,10000,0
104,105,0,10000,0
104,115,0,10000,0
105,106,0,10000,0
105,116,0,10000,0
106,107,0,10000,0
106,117,0,10000,0
107,108,0,10000,0
107,118,0,10000,0
108,109,0,10000,0
108,119,0,10000,0
109,120,0,10000,0
110,111,0,10000,0
111,112,0,10000,0
112,113,0,10000,0
113,114,0,10000,0
114,115,0,10000,0
115,116,0,10000,0
116,117,0,10000,0
117,118,0,10000,0
118,119,0,10000,0
119,120,0,10000,0
