10,B,181,N,100
99,0,10,10000,0
0,1,0,10000,0
0,10,0,10000,0
1,2,0,10000,0
1,11,0,10000,0
2,3,0,10000,0
2,12,0,10000,0
3,4,0,10000,0
3,13,0,10000,0
4,5,0,10000,0
4,14,0,10000,0
5,6,0,10000,0
5,15,0,10000,0
6,7,0,10000,0
6,16,0,10000,0
7,8,0,10000,0
7,17,0,10000,0
8,9,0,10000,0
8,18,0,10000,0
9,19,0,10000,0
10,11,0,10000,0
10,20,0,10000,0
11,12,0,10000,0
11,21,0,10000,0
12,13,0,10000,0
12,22,0,10000,0
13,14,0,10000,0
13,23,0,10000,0
14,15,0,10000,0
14,24,0,10000,0
15,16,0,10000,0
15,25,0,10000,0
16,17,0,10000,0
16,26,0,10000,0
17,18,0,10000,0
17,27,0,10000,0
18,19,0,10000,0
18,28,0,10000,0
19,29,0,10000,0
20,21,0,10000,0
20,30,0,10000,0
21,22,0,10000,0
21,31,0,10000,0
22,23,0,10000,0
22,32,0,10000,0
23,24,0,10000,0
23,33,0,10000,0
24,25,0,10000,0
24,34,0,10000,0
25,26,0,10000,0
25,35,0,10000,0
26,27,0,10000,0
26,36,0,10000,0
27,28,0,10000,0
27,37,0,10000,0
28,29,0,10000,0
28,38,0,10000,0
29,39,0,10000,0
30,31,0,10000,0
30,40,0,10000,0
31,32,0,10000,0
31,41,0,10000,0
32,33,0,10000,0
32,42,0,10000,0
33,34,0,10000,0
33,43,0,10000,0
34,35,0,10000,0
34,44,0,10000,0
35,36,0,10000,0
35,45,0,10000,0
36,37,0,10000,0
36,46,0,10000,0
37,38,0,10000,0
37,47,0,10000,0
38,39,0,10000,0
38,48,0,10000,0
39,49,0,10000,0
40,41,0,10000,0
40,50,0,10000,0
41,42,0,10000,0
41,51,0,10000,0
42,43,0,10000,0
42,52,0,10000,0
43,44,0,10000,0
43,53,0,10000,0
44,45,0,10000,0
44,54,0,10000,0
45,46,0,10000,0
45,55,0,10000,0
46,47,0,10000,0
46,56,0,10000,0
47,48,0,10000,0
47,57,0,10000,0
48,49,0,10000,0
48,58,0,10000,0
49,59,0,10000,0
50,51,0,10000,0
50,60,0,10000,0
51,52,0,10000,0
51,61,0,10000,0
52,53,0,10000,0
52,62,0,10000,0
53,54,0,10000,0
53,63,0,10000,0
54,55,0,10000,0
54,64,0,10000,0
55,56,0,10000,0
55,65,0,10000,0
56,57,0,10000,0
56,66,0,10000,0
57,58,0,10000,0
57,67,0,10000,0
58,59,0,10000,0
58,68,0,10000,0
59,69,0,10000,0
60,61,0,10000,0
60,70,0,10000,0
61,62,0,10000,0
61,71,0,10000,0
62,63,0,10000,0
62,72,0,10000,0
63,64,0,10000,0
63,73,0,10000,0
64,65,0,10000,0
64,74,0,10000,0
65,66,0,10000,0
65,75,0,10000,0
66,67,0,10000,0
66,76,0,10000,0
67,68,0,10000,0
67,77,0,10000,0
68,69,0,10000,0
68,78,0,10000,0
69,79,0,10000,0
70,71,0,10000,0
70,80,0,10000,0
71,72,0,10000,0
71,81,0,10000,0
72,73,0,10000,0
72,82,0,10000,0
73,74,0,10000,0
73,83,0,10000,0
74,75,0,10000,0
74,84,0,10000,0
75,76,0,10000,0
75,85,0,10000,0
76,77,0,10000,0
76,86,0,10000,0
77,78,0,10000,0
77,87,0,10000,0
78,79,0,10000,0
78,88,0,10000,0
79,89,0,10000,0
80,81,0,10000,0
80,90,0,10000,0
81,82,0,10000,0
81,91,0,10000,0
82,83,0,10000,0
82,92,0,10000,0
83,84,0,10000,0
83,93,0,10000,0
84,85,0,10000,0
84,94,0,10000,0
85,86,0,10000,0
85,95,0,10000,0
86,87,0,10000,0
86,96,0,10000,0
87,88,0,10000,0
87,97,0,10000,0
88,89,0,10000,0
88,98,0,10000,0
89,99,0,10000,0
90,91,0,10000,0
91,92,0,10000,0
92,93,0,10000,0
93,94,0,10000,0
94,95,0,10000,0
95,96,0,10000,0
96,97,0,10000,0
97,98,0,10000,0
98,99,0,10000,0
