7,B,85,N,49
48,0,10,10000,0
0,1,0,10000,0
0,7,0,10000,0
1,2,0,10000,0
1,8,0,10000,0
2,3,0,10000,0
2,9,0,10000,0
3,4,0,10000,0
3,10,0,10000,0
4,5,0,10000,0
4,11,0,10000,0
5,6,0,10000,0
5,12,0,10000,0
6,13,0,10000,0
7,8,0,10000,0
7,14,0,10000,0
8,9,0,10000,0
8,15,0,10000,0
9,10,0,10000,0
9,16,0,10000,0
10,11,0,10000,0
10,17,0,10000,0
11,12,0,10000,0
11,18,0,10000,0
12,13,0,10000,0
12,19,0,10000,0
13,20,0,10000,0
14,15,0,10000,0
14,21,0,10000,0
15,16,0,10000,0
15,22,0,10000,0
16,17,0,10000,0
16,23,0,10000,0
17,18,0,10000,0
17,24,0,10000,0
18,19,0,10000,0
18,25,0,10000,0
19,20,0,10000,0
19,26,0,10000,0
20,27,0,10000,0
21,22,0,10000,0
21,28,0,10000,0
22,23,0,10000,0
22,29,0,10000,0
23,24,0,10000,0
23,30,0,10000,0
24,25,0,10000,0
24,31,0,10000,0
25,26,0,10000,0
25,32,0,10000,0
26,27,0,10000,0
26,33,0,10000,0
27,34,0,10000,0
28,29,0,10000,0
28,35,0,10000,0
29,30,0,10000,0
29,36,0,10000,0
30,31,0,10000,0
30,37,0,10000,0
31,32,0,10000,0
31,38,0,10000,0
32,33,0,10000,0
32,39,0,10000,0
33,34,0,10000,0
33,40,0,10000,0
34,41,0,10000,0
35,36,0,10000,0
35,42,0,10000,0
36,37,0,10000,0
36,43,0,10000,0
37,38,0,10000,0
37,44,0,10000,0
38,39,0,10000,0
38,45,0,10000,0
39,40,0,10000,0
39,46,0,10000,0
40,41,0,10000,0
40,47,0,10000,0
41,48,0,10000,0
42,43,0,10000,0
43,44,0,10000,0
44,45,0,10000,0
45,46,0,10000,0
46,47,0,10000,0
47,48,0,10000,0
