6,B,61,N,36
35,0,10,10000,0
0,1,0,10000,0
0,6,0,10000,0
1,2,0,10000,0
1,7,0,10000,0
2,3,0,10000,0
2,8,0,10000,0
3,4,0,10000,0
3,9,0,10000,0
4,5,0,10000,0
4,10,0,10000,0
5,11,0,10000,0
6,7,0,10000,0
6,12,0,10000,0
7,8,0,10000,0
7,13,0,10000,0
8,9,0,10000,0
8,14,0,10000,0
9,10,0,10000,0
9,15,0,10000,0
10,11,0,10000,0
10,16,0,10000,0
11,17,0,10000,0
12,13,0,10000,0
12,18,0,10000,0
13,14,0,10000,0
13,19,0,10000,0
14,15,0,10000,0
14,20,0,10000,0
15,16,0,10000,0
15,21,0,10000,0
16,17,0,10000,0
16,22,0,10000,0
17,23,0,10000,0
18,19,0,10000,0
18,24,0,10000,0
19,20,0,10000,0
19,25,0,10000,0
20,21,0,10000,0
20,26,0,10000,0
21,22,0,10000,0
21,27,0,10000,0
22,23,0,10000,0
22,28,0,10000,0
23,29,0,10000,0
24,25,0,10000,0
24,30,0,10000,0
25,26,0,10000,0
25,31,0,10000,0
26,27,0,10000,0
26,32,0,10000,0
27,28,0,10000,0
27,33,0,10000,0
28,29,0,10000,0
28,34,0,10000,0
29,35,0,10000,0
30,31,0,10000,0
31,32,0,10000,0
32,33,0,10000,0
33,34,0,10000,0
34,35,0,10000,0
